Record number	In-ref ID	Individual ID	Predator	Predator common name	Predator  taxon	Predator lifestage	Type of feeding interaction	Predator length	Predator length unit	Predator dimension measured	Predator standard length	Predator fork length	Predator total length	Predator TL/FL/SL conversion reference	Standardised predator length	Predator measurement type	Predator length-mass conversion method	Predator length-mass conversion reference	Predator quality of length-mass conversion	Predator mass	Predator mass unit	Predator mass check	Predator mass check diff	Predator ratio mass/mass	SI predator mass	Diet coverage	Prey	Prey common name	Prey taxon	Prey length	Prey length unit	Prey conversion to length method	Prey quality of conversion to length	Prey conversion to length reference	SI prey length	Prey dimension measured	Prey width	Prey width unit	Prey measurement type	Prey mass	Prey mass unit	Prey mass check	Prey mass check diff	Prey ratio mass/mass	SI prey mass	Prey conversion to mass method	Prey conversion to mass reference	Prey quality of conversion to mass	Geographic location	Latitude	Longitude	Depth	Mean annual temp	SD annual temp	Mean PP	SD PP	Reference	Specific habitat	Notes / assumptions
30768	5431	16325	Pleuragramma antarcticum	Antarctic Silverfish	ectotherm vertebrate	postlarva/juvenile	planktivorous	55.5	mm	standard length	55.5	59.108	61.716	Fishbase (species)	6.1716	individual	M=0.0045SL^3.25	Kunzmann (1986)	1	1.1808	g	12.302	11.121	10.419	1.1808	all	Nauplius	nauplius	ectotherm invertebrate	0.98	mm	n/a	0	n/a	0.098	total length	n/a	n/a	individual	4.9241e-6	g	4.9256e-5	4.4332e-5	10.003	4.9241e-6	M=(4.17x10-6*(L*10000)^2.03)/1000000	Hygum et al (2000)	4	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1987)	Seasonal Pack Ice Zone	None
2832	n/a	761	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	predacious	86	cm	standard length	86	89.027	98.642	Fishbase (species)	98.642	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	12123	g	50230	38107	4.1434	12123	all	crustacean	crustacean	ectotherm invertebrate	3.3	cm	n/a	0	n/a	3.3	Eye to end of abdomen	n/a	n/a	individual	3.9971	g	1.8807	-2.1164	0.47052	3.9971	M=(0.015*(L*10)^3.573)/1000	Benke et al (1999)	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
17994	XG69	7065	Xiphias gladius	Swordfish	ectotherm vertebrate	adult	piscivorous	86	cm	lower jaw to fork length	81.872	86	94.342	Fishbase (species)	94.342	individual	M=0.0078L^3.21	Chancollon et al. (2006)	1	17018	g	43943	26926	2.5822	17018	all	Symbolophorus veranyi	Lanternfish	ectotherm vertebrate	11.37	cm	L = 10^ ((logM-log(0.0156))/2.912)	1	Hulley (1990)	11.37	mass	n/a	n/a	individual	18.516	g	76.931	58.416	4.1549	18.516	Weighed	n/a	0	Off the Bay of Biscay	44º00'N	16º00'W	3798	15.6	2.7	469	51	Chancollon et al (2006)	Off the continental shelf	None
8016	n/a	1831	Myoxocephalus octodecimspinosus	Longhorn sculpin	ectotherm vertebrate	adult	predacious	330	mm	total length	284.97	330	330	Fishbase (species)	33	individual	M=0.0116SL^3.1122	Froese and Pauly (2007)	2	390.93	g	1880.7	1489.8	4.8108	390.93	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	12	mm	n/a	0	n/a	1.2	total length	n/a	n/a	individual	0.033314	g	0.090432	0.057118	2.7145	0.033314	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
19446	n/a	7883	Lophius americanus	Goosefish	ectotherm vertebrate	adult	piscivorous	530	mm	total length	450.5	530	530	Fishbase (species)	53	individual	M=0.0170SL^3.0010	Armstrong et al. (1992)	1	1560.2	g	7791.2	6231	4.9937	1560.2	all	fish unidentified	fish	ectotherm vertebrate	490	mm	n/a	0	n/a	49	total length	n/a	n/a	individual	1176.5	g	6157	4980.5	5.2333	1176.5	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
21802	n/a	10075	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	predacious	730	mm	total length	641.67	730	730	Fishbase (species)	73	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	2656.3	g	20359	17702	7.6644	2656.3	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	15	mm	n/a	0	n/a	1.5	total length	n/a	n/a	individual	0.06655	g	0.17663	0.11007	2.654	0.06655	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
25711	n/a	13608	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	820	mm	total length	0	727.34	820	Fishbase (species)	82	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	2262.3	g	28855	26593	12.755	2262.3	all	fish unidentified	fish	ectotherm vertebrate	236	mm	n/a	0	n/a	23.6	total length	n/a	n/a	individual	131.44	g	687.88	556.44	5.2333	131.44	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
18629	n/a	7280	Hexagrammos decagrammus	Kelp greenling	ectotherm vertebrate	larva / juvenile	predacious	45	mm	fork length	39.735	45	45.685	Fishbase (species)	4.5685	individual	M=0.0156TL^3	Crawford (1993)	1	1.4875	g	4.9901	3.5026	3.3547	1.4875	all	copepod	copepod	ectotherm invertebrate	1.7	mm	n/a	0	n/a	0.17	metasome length	n/a	n/a	mid-range	1.931e-5	g	2.5711e-4	2.378e-4	13.315	1.931e-5	M=(9.66*10-7*(L*10000)^2.26)/1000000	Satapoomin (1999)	4	Strait of Georgia	49º00'N	123º00'W	127	10.5	2.8	1739	190	Barraclough (1967) Rep 922	nearshore	Prey length mid-range
15561	Ge45	6990	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	63	cm	standard length	63	66.386	71.001	Fishbase (species)	71.001	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	5084.4	g	18731	13647	3.6841	5084.4	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	4.3137	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	4.3137	mass	n/a	n/a	individual	0.52333	g	4.2009	3.6775	8.0272	0.52333	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
12573	n/a	5884	Raja erinacea	Little skate	ectotherm vertebrate	adult	predacious	370	mm	total length	370	370	370	Fishbase (species)	37	individual	M=0.0027SL^3.184	Waring (1984)	1	265.78	g	2650.8	2385.1	9.9739	265.78	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	14	mm	n/a	0	n/a	1.4	total length	n/a	n/a	individual	0.053732	g	0.1436	0.089871	2.6726	0.053732	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
