"accession","water","microbe","replicate","tray","shelf","rack","fruit","flowering","counter"
"54","D","L",2,"14","A","2",20,9,"JV"
"72","D","L",2,"14","A","2",5,31,"JV"
"49","D","L",2,"14","A","2",13,10,"JV"
"41","D","S",2,"14","A","2",0,NA,"JV"
"50","D","S",2,"14","A","2",1,20,"JV"
"41","D","L",2,"14","A","2",0,NA,"JV"
"38","W","S",2,"14","A","2",49,9,"JV"
"66","D","S",2,"14","A","2",11,12,"JV"
"58","D","S",2,"14","A","2",3,33,"JV"
"3","W","S",2,"14","A","2",46,21,"JV"
"37","W","S",2,"14","A","2",80,8,"JV"
"73","W","S",2,"14","A","2",0,NA,"JV"
"8","D","L",2,"14","A","2",44,6,"JV"
"15","W","S",2,"14","A","2",49,6,"JV"
"54","W","S",2,"14","A","2",124,9,"JV"
"42","D","L",2,"15","A","2",21,4,"JV"
"38","W","L",2,"15","A","2",26,5,"JV"
"67","W","S",2,"15","A","2",38,12,"JV"
"30","W","L",2,"15","A","2",7,33,"JV"
"19","D","L",2,"15","A","2",8,28,"JV"
"33","D","L",2,"15","A","2",14,9,"JV"
"64","W","S",2,"15","A","2",16,18,"JV"
"11","W","S",2,"15","A","2",6,34,"JV"
"12","W","L",2,"15","A","2",16,6,"JV"
"19","W","S",2,"15","A","2",25,22,"JV"
"71","D","L",2,"15","A","2",21,8,"JV"
"73","D","S",2,"15","A","2",0,NA,"JV"
"19","D","S",2,"15","A","2",3,13,"JV"
"60","W","L",2,"15","A","2",51,5,"JV"
"50","W","S",2,"15","A","2",4,17,"JV"
"54","D","S",2,"16","A","2",20,8,"JV"
"55","W","S",2,"16","A","2",36,4,"JV"
"51","D","L",2,"16","A","2",2,36,"JV"
"70","D","L",2,"16","A","2",4,17,"JV"
"66","W","S",2,"16","A","2",24,9,"JV"
"10","W","L",2,"16","A","2",16,26,"JV"
"67","W","L",2,"16","A","2",21,4,"JV"
"64","D","L",2,"16","A","2",24,9,"JV"
"69","D","L",2,"16","A","2",23,5,"JV"
"15","D","S",2,"16","A","2",9,5,"JV"
"8","W","S",2,"16","A","2",40,4,"JV"
"63","D","S",2,"16","A","2",6,28,"JV"
"65","D","L",2,"16","A","2",0,NA,"JV"
"71","D","S",2,"16","A","2",11,6,"JV"
"33","W","S",2,"16","A","2",22,12,"JV"
"70","D","S",2,"17","B","2",19,7,"JV"
"15","W","L",2,"17","B","2",19,4,"JV"
"42","W","S",2,"17","B","2",49,4,"JV"
"64","W","L",2,"17","B","2",30,11,"JV"
"63","W","L",2,"17","B","2",48,10,"JV"
"1","W","S",2,"17","B","2",24,16,"JV"
"55","D","S",2,"17","B","2",3,20,"JV"
"42","D","S",2,"17","B","2",18,5,"JV"
"47","D","S",2,"17","B","2",8,10,"JV"
"44","D","S",2,"17","B","2",25,13,"JV"
"30","D","L",2,"17","B","2",15,14,"JV"
"68","D","L",2,"17","B","2",8,10,"JV"
"58","W","S",2,"17","B","2",0,40,"JV"
"52","W","S",2,"17","B","2",30,23,"JV"
"72","W","S",2,"17","B","2",8,26,"JV"
"37","W","L",2,"18","B","2",26,4,"JV"
"37","D","L",2,"18","B","2",32,8,"JV"
"11","D","L",2,"18","B","2",28,24,"JV"
"73","D","L",2,"18","B","2",0,NA,"JV"
"49","W","S",2,"18","B","2",9,20,"JV"
"56","W","S",2,"18","B","2",41,5,"JV"
"69","W","L",2,"18","B","2",0,NA,"JV"
"41","W","L",2,"18","B","2",0,NA,"JV"
"30","D","S",2,"18","B","2",5,13,"JV"
"30","W","S",2,"18","B","2",13,25,"JV"
